region,porcentaje_reprobados,cantidad_reprobados,total_alumnos
1,2.8627445603740214157424,2088,72937
8,2.419668088533481578094,6790,280617
15,2.1073158457570610807071,1005,47691
6,2.6138077608665843959962,4575,175032
2,2.4888354080690128551696,2937,118007
10,3.7404770085662492150567,6314,168802
11,5.0177095631641086186541,1105,22022
7,2.9229536047912644118552,5798,198361
5,2.9372225206279265254348,9679,329529
14,2.4730577448930352259932,1845,74604
4,2.459657859845422501051,3803,154615
13,2.8297665456863155818508,34719,1226921
9,2.6562386623959531880047,5125,192942
12,1.5153098547392622008569,435,28707
16,1.8990694674774276764327,1649,86832
3,2.7975208003503216896285,1661,59374
