region,avg_promedio_anual,n_alumnos
1,5.652413726915008843248283,72937
10,5.607456665205388561746899,168802
11,5.505916810462265007719553,22022
12,5.877531612498693698401087,28707
13,5.661652328770472763430826,1226935
14,5.667576805533215377191571,74604
15,5.765301629238221047996477,47691
16,5.843858901569679730056545,86833
2,5.73890108213919513249214,118007
3,5.757274227776467814194765,59374
4,5.767536138149597387058177,154615
5,5.692212848602555154310685,329530
6,5.720975509434608990728204,175047
7,5.773648553281580804516584,198380
8,5.853933653342456087835021,280617
9,5.647151475572970115371459,192942
