region,puntaje_promedio,n_docentes
1,2.786890756302521008403361,119
10,2.758920676202860858257477,769
11,2.695794392523364485981308,107
12,2.728736842105263157894737,95
13,2.750935698447893569844789,2255
14,2.784628099173553719008264,242
15,2.789357142857142857142857,140
16,2.857410423452768729641694,614
2,2.798454545454545454545455,110
3,2.774621513944223107569721,251
4,2.775281837160751565762004,479
5,2.782325216025137470542027,1273
6,2.767719498289623717217788,877
7,2.80633904418394950405771,1109
8,2.832088316467341306347746,1087
9,2.803294797687861271676301,692
